Country Code,2015,2019
ABW,2146368715,
AFG,,
AGO,34572954934,36020868042
ALB,3104896171,4821430667
AND,,
ARB,1.07E+12,1.27E+12
ARE,3.61E+11,3.89E+11
ARG,63671789069,77684320033
ARM,3137020909,5631686118
ASM,427000000,
ATG,1016370370,
AUS,2.70E+11,3.37E+11
AUT,2.03E+11,2.47E+11
AZE,20059340230,23629647059
BDI,177973982.2,275062068.7
BEL,3.60E+11,4.36E+11
BEN,2815204774,4264042972
BFA,3089098203,4056716093
BGD,33820154153,46363741963
BGR,32398958286,44009023469
BHR,25805319149,
BHS,4440500000,5328800000
BIH,5761284945,8076578902
BLR,32749824187,41905201262
BLZ,1013861000,1084579350
BMU,3325330000,3759931000
BOL,10186598887,10210442517
BRA,2.32E+11,2.63E+11
BRB,1954045850,2188203000
BRN,6751036439,7804997288
BTN,689952056,860578270.8
BWA,7183704917,6160141513
CAF,289437776.7,414205622.7
CAN,4.96E+11,5.49E+11
CEB,8.02E+11,1.06E+12
CHE,4.23E+11,4.64E+11
CHI,,
CHL,71654520806,79613395186
CHN,2.36E+12,2.64E+12
CIV,12532872743,13918496154
CMR,6884615105,7885214649
COD,10512898981,15173271456
COG,5080489781,8475348645
COL,45930514341,51123470287
COM,97918670.09,149339045.8
CPV,717082167.8,1008054464
CRI,16884667694,20884707652
CSS,,
CUB,14941000000,
CUW,,
CYM,,
CYP,13909862421,17931937759
CZE,1.51E+11,1.86E+11
DEU,1.57E+12,1.81E+12
DJI,3437846050,
DMA,257574629.6,219805148.1
DNK,1.68E+11,2.04E+11
DOM,16909888522,20518119287
DZA,38548939877,38999162479
EAP,3.34E+12,3.87E+12
EAR,2.43E+12,3.03E+12
EAS,6.64E+12,7.57E+12
ECA,8.64E+11,1.07E+12
ECS,8.61E+12,1.03E+13
ECU,21107369000,25129245000
EGY,43423180593,53041002278
EMU,5.38E+12,6.43E+12
ERI,,
ESP,4.02E+11,4.86E+11
EST,17718448637,22945209657
ETH,6047701985,7615437261
EUU,6.39E+12,7.71E+12
FCS,2.97E+11,
FIN,83008103046,1.08E+11
FJI,2286803966,
FRA,7.46E+11,8.63E+11
FRO,1289555433,
FSM,85658000,
GAB,6620833366,8550820858
GBR,8.10E+11,8.94E+11
GEO,6110518662,9580781378
GHA,15520745572,24098556292
GIB,,
GIN,1890478301,3762688442
GMB,270072130.7,376853732.8
GNB,288714347.2,314738927.9
GNQ,7470701273,6079488182
GRC,62031002163,78038964372
GRD,510740740.7,632222222.2
GRL,939163780.7,
GTM,12331463396,13574693570
GUM,1048000000,
GUY,,
HIC,1.49E+13,1.72E+13
HKG,6.06E+11,6.49E+11
HND,9475880830,10099871473
HPC,1.49E+11,1.82E+11
HRV,22969269548,31567697384
HTI,1747466877,1586190583
HUN,1.10E+11,1.34E+11
IBD,6.46E+12,7.79E+12
IBT,6.83E+12,8.25E+12
