Country Code,2015,2016,2017,2018
ABW,1.854,1.872,1.886,1.896
AFG,4.976,4.8,4.633,4.473
AGO,5.774,5.686,5.6,5.519
ALB,1.677,1.659,1.638,1.617
AND,,,,
ARB,3.365221092,3.322465331,3.27655324,3.231091156
ARE,1.541,1.491,1.448,1.413
ARG,2.301,2.288,2.275,2.261
ARM,1.738,1.744,1.75,1.755
ASM,,,,
ATG,2.003,2.003,1.999,1.994
AUS,1.814,1.752,1.741,1.74
AUT,1.49,1.53,1.52,1.47
AZE,1.94,1.9,1.75,1.73
BDI,5.697,5.599,5.502,5.41
BEL,1.7,1.68,1.65,1.62
BEN,5.047,4.977,4.906,4.836
BFA,5.436,5.353,5.271,5.189
BGD,2.12,2.09,2.062,2.036
BGR,1.53,1.54,1.56,1.56
BHR,2.056,2.033,2.01,1.987
BHS,1.782,1.771,1.762,1.752
BIH,1.296,1.286,1.276,1.265
BLR,1.724,1.733,1.541,1.448
BLZ,2.439,2.391,2.346,2.307
BMU,1.62,1.61,1.6,1.6
BOL,2.886,2.829,2.777,2.73
BRA,1.753,1.747,1.739,1.73
BRB,1.614,1.613,1.615,1.619
BRN,1.947,1.915,1.881,1.848
BTN,2.037,2.014,1.994,1.975
BWA,2.968,2.942,2.91,2.874
CAF,4.941,4.87,4.796,4.721
CAN,1.563,1.5433,1.4961,1.4988
CEB,1.461985364,1.521780862,1.567828347,1.574420184
CHE,1.54,1.54,1.52,1.52
CHI,1.541,1.527,1.516,1.51
CHL,1.75,1.713,1.678,1.649
CHN,1.665,1.675,1.683,1.69
CIV,4.813,4.759,4.704,4.649
CMR,4.777,4.708,4.639,4.572
COD,6.203,6.112,6.017,5.919
COG,4.587,4.536,4.482,4.428
COL,1.863,1.843,1.825,1.807
COM,4.419,4.347,4.275,4.205
CPV,2.385,2.346,2.309,2.274
CRI,1.806,1.789,1.772,1.754
CSS,2.045249974,2.027645401,2.010753172,1.995133513
CUB,1.674,1.656,1.637,1.618
CUW,1.9,1.7,1.5,1.7
CYM,,,,
CYP,1.354,1.345,1.337,1.329
CZE,1.57,1.63,1.69,1.71
DEU,1.5,1.6,1.57,1.57
DJI,2.912,2.846,2.785,2.728
DMA,,,,
DNK,1.71,1.79,1.75,1.73
DOM,2.405,2.387,2.367,2.346
DZA,3.043,3.052,3.045,3.023
EAP,1.874993254,1.876299905,1.876524029,1.876543583
EAR,2.572498054,2.541521687,2.51291866,2.485789976
EAS,1.831081638,1.829611266,1.825949415,1.823004187
ECA,1.991248438,1.976469579,1.903463298,1.884797598
ECS,1.764686614,1.770969653,1.729742463,1.710740155
ECU,2.499,2.475,2.451,2.427
EGY,3.436,3.41,3.37,3.326
EMU,1.549776602,1.568999804,1.545476583,1.525662702
ERI,4.217,4.164,4.112,4.056
ESP,1.33,1.34,1.31,1.26
EST,1.58,1.6,1.59,1.67
ETH,4.565,4.456,4.35,4.247
EUU,1.537246397,1.566148524,1.557485359,1.543444776
FCS,4.699934998,4.641524737,4.583596434,4.526274789
FIN,1.65,1.57,1.49,1.41
FJI,2.8,2.797,2.788,2.774
FRA,1.96,1.92,1.9,1.88
FRO,2.4,2.6,2.5,2.5
FSM,3.193,3.145,3.098,3.053
GAB,4.064,4.039,4.008,3.969
GBR,1.8,1.79,1.74,1.68
GEO,2.05,2.059,2.062,2.06
GHA,4.041,3.984,3.926,3.87
GIB,,,,
GIN,4.933,4.854,4.777,4.7
GMB,5.39,5.338,5.281,5.219
GNB,4.708,4.631,4.553,4.476
GNQ,4.774,4.686,4.599,4.513
GRC,1.33,1.38,1.35,1.35
GRD,2.126,2.104,2.083,2.063
GRL,2.01,2,2.09,2
GTM,3.029,2.973,2.92,2.87
GUM,2.383,2.358,2.334,2.313
GUY,2.534,2.509,2.485,2.462
HIC,1.664194341,1.659499918,1.626503834,1.600311371
HKG,1.196,1.205,1.125,1.072
