Country Code,2015,2016,2017,2018,2019
ABW,17.04936854,16.78282162,16.68799123,,
AFG,,,,,
AGO,16.43283225,13.88068207,12.93582152,10.47454474,10.32928014
ALB,11.11066552,11.26929392,11.49837285,11.29359588,11.52394291
AND,,,,,
ARB,20.89461103,19.79628852,18.8943663,18.05821702,17.96326149
ARE,12.42857827,12.52651063,13.21193518,11.81921854,13.27841895
ARG,18.09837976,17.65457819,17.69689392,16.38048761,15.771007
ARM,13.11159781,13.45415852,12.31855199,11.48669032,12.47208949
ASM,,,,,
ATG,16.2285575,15.61057858,15.90749683,16.39423687,
AUS,18.0607423,18.65685482,18.61350419,18.68692388,19.00849089
AUT,19.76169058,19.65110116,19.49035155,19.33402133,19.44819859
AZE,12.40823832,12.83206344,11.34141244,10.46646357,10.82724257
BDI,22.42111499,23.47319993,25.086295,26.21026109,27.63866828
BEL,23.61508745,23.26203662,23.01855026,22.99095129,23.03444768
BEN,11.41138015,10.28081876,10.47898429,10.41050539,10.34206324
BFA,15.94408026,16.5070966,17.73932315,16.99336356,19.01860644
BGD,5.404240381,5.892488152,5.995839085,6.356694772,6.271087165
BGR,16.12741084,15.62534302,15.63661383,16.44740042,16.79017552
BHR,17.6852499,17.11113953,16.62645616,16.32192206,
BHS,12.34245312,11.58905143,12.63099746,12.11325362,14.19786726
BIH,21.9980801,20.9630938,20.27789056,19.76953348,19.4788404
BLR,14.92176438,15.65314011,15.65284326,15.73949249,15.85140623
BLZ,15.59917044,16.80562504,16.63673636,17.49165242,17.49162434
BMU,12.50314635,12.13059125,11.62692886,11.69200627,11.99468795
BOL,17.49525821,17.45825219,17.02164005,17.52564467,18.143092
BRA,19.77683664,20.37929743,20.16851986,20.08491309,20.28256559
BRB,13.63574443,13.42812215,12.15559863,11.81674826,11.32601747
BRN,25.06167623,26.22271781,26.47721239,24.1412808,25.04039622
BTN,18.25620434,17.27504382,16.80426258,17.11690279,18.29532223
BWA,20.57746506,18.19425723,18.42843147,18.20357252,18.42865015
CAF,14.77679854,14.40810862,14.06703431,14.2027423,14.9854307
CAN,20.87782513,21.04804019,20.74389556,20.94524106,21.16648538
CEB,17.92294432,18.01830877,17.95202579,18.16688098,18.51703581
CHE,11.9330699,11.99792754,12.03008943,11.81241533,11.90403218
CHI,,,,,
CHL,12.99389253,13.77981795,14.10986643,14.51080447,14.59104328
CHN,16.21788677,16.36375556,16.32486222,16.53580834,16.77051095
CIV,8.742420019,9.517161524,10.16527119,10.24097815,10.11321959
CMR,12.27677934,12.12474356,11.13903761,11.10672664,10.86084268
COD,9.056194741,8.679577104,6.074785083,6.417415364,6.544999962
COG,20.08403892,22.53709377,19.11344556,14.75827522,12.22939507
COL,14.81162979,14.54128472,14.88064263,15.404222,15.43288641
COM,10.59190468,10.61491606,10.82377663,10.31880527,10.26242466
CPV,18.85223395,17.29058069,17.99359926,17.79866075,17.61331257
CRI,17.47982898,17.20601106,17.17035935,16.90166419,17.39080538
CSS,,,,,
CUB,32.20593805,31.89558936,30.8380915,30.05308779,
CUW,,,,,
CYM,,,,,
CYP,16.35376149,15.24670168,14.90814505,14.68574101,16.56131023
CZE,18.91525406,18.96218641,18.75827057,19.39351786,19.73773751
DEU,19.6917566,19.90120393,19.8832772,19.97211306,20.42695815
DJI,19.86289865,22.242092,21.86160752,20.64625755,
DMA,,,,,
DNK,25.46919943,24.86850637,24.41208314,24.25945201,23.84719117
DOM,10.28874596,10.3026904,10.93864349,10.85985699,11.06879727
DZA,21.56035951,20.88986166,18.95038779,17.15259408,16.94609928
EAP,15.31341442,15.38878301,15.28495996,15.45189016,15.59492397
EAR,14.22621294,13.97144818,13.77059463,13.72640946,13.76838827
EAS,16.82370785,16.94873034,16.80052003,17.00053391,
ECA,16.13333205,16.72779427,16.50590278,16.231651,16.87077187
ECS,19.95120346,19.96745328,19.75031169,19.65207809,19.8733286
ECU,14.42952263,14.60569393,14.57125691,14.71635784,14.50466286
EGY,11.75989198,11.42688418,10.09221902,8.351737504,7.660222084
EMU,20.87493066,20.79256534,20.60914114,20.54590319,20.66823554
ERI,,,,,
ESP,19.47957943,19.05821303,18.61934283,18.65814235,18.87389819
EST,19.98306725,20.16503851,19.81231003,19.66974295,19.85655291
ETH,9.013788576,11.1344515,11.10920751,10.25048168,9.193046848
EUU,20.91527677,20.85790047,20.67457815,20.63820309,20.74979253
FCS,,,,,
FIN,24.38441706,23.67114446,22.82889175,22.8503321,22.99630855
FJI,20.11511708,18.92319995,18.34130976,19.76664325,
FRA,23.80787761,23.73238072,23.64400442,23.28089238,23.09564878
FRO,28.62615471,28.14937354,28.03134172,28.83766303,
FSM,,,,,
GAB,14.81639805,14.64120171,13.23170516,10.56896344,10.99339673
GBR,19.49375449,19.11931922,18.66453441,18.47825681,18.83822381
GEO,14.29085015,15.30834915,13.85323442,13.20757678,12.99605097
GHA,9.656949101,9.952314358,8.803558802,9.014341667,8.880743392
GIB,,,,,
GIN,19.50189414,16.88354427,15.27602158,16.27071954,14.81090789
GMB,8.326579387,8.446617063,7.866855086,6.824780047,8.186615234
GNB,11.32588431,9.822291822,9.296819821,9.689179921,
GNQ,21.92151289,25.32732608,23.69493699,22.96688084,26.04901519
GRC,20.29702735,20.05869047,19.80672364,19.1446838,19.49102173
GRD,,,,,
GRL,44.19881288,42.34376115,43.06074228,44.13019336,
GTM,11.08810874,10.44035259,10.560096,11.00867794,11.07460611
GUM,,,,,
GUY,,,,,
HIC,18.04349652,17.98217192,17.7734207,17.77405015,17.58961118
HKG,9.642869056,9.957003547,9.831111265,9.926702575,10.78013274
HND,14.30524677,14.11393609,13.49841646,13.59657845,13.48606334
HPC,11.43300835,11.62939623,11.26273303,11.06001907,11.00786325
HRV,20.12164551,19.59425801,19.48227693,19.5144647,19.72968297
HTI,8.25363057,8.416277927,8.386387934,8.490235137,7.534520834
HUN,19.72962832,19.98274802,20.16889168,19.64975879,19.64518308
IBD,15.49350092,15.65431379,15.54558229,15.51108055,15.76014945
IBT,15.18936468,15.34395591,15.21907887,15.21223891,15.4382901
IDA,10.38410003,10.39431896,9.983220495,10.2663589,9.772963871
IDB,9.923347984,9.746730996,9.136593449,9.867842329,9.788111189
IDN,9.74941377,9.52781009,9.120571152,9.007851715,8.752598807
IDX,10.79663307,10.98454795,10.76303793,10.65759434,9.756748358
IMN,,,,,
IND,10.42829069,10.30854808,10.75028584,11.09171105,12.02850005
INX,,,,,
IRL,12.2501386,12.31425039,11.98336812,11.90030413,11.95139598
IRN,12.69526805,13.32235181,13.42938024,12.24872926,11.60836037
IRQ,22.99777091,22.93165971,22.17203509,21.59253252,23.64243866
ISL,23.33316287,22.90958974,23.47982378,24.02033386,24.34331578
ISR,22.43290641,22.31671188,22.52905043,22.85608813,22.58880918
ITA,19.11034189,19.02656631,18.83009074,18.88656593,18.72052307
JAM,13.81720871,13.84113347,13.38517306,13.47298248,13.47298248
JOR,15.82173403,15.31436796,15.22331109,15.30567228,15.03135947
JPN,19.81802673,19.90055966,19.62033525,19.80081352,
KAZ,11.63272615,11.63085341,10.53593296,8.321204428,9.132161576
KEN,14.08762813,12.93896589,12.90433092,13.0954777,13.05287279
KGZ,17.7553733,17.43415086,17.13017203,17.16970011,16.80863951
KHM,5.397979837,5.209980457,5.123498321,4.926273171,4.806798236
KIR,62.58544616,68.73957847,67.50873718,73.8764365,
KNA,,,,,
KOR,15.08352973,15.24002234,15.41897247,16.05172731,17.15938788
KWT,24.1917658,25.70600532,24.42140916,22.65691032,
LAC,16.96836575,17.10300519,16.91750318,16.75488705,16.53839908
LAO,15.10665451,13.97094291,,,
LBN,12.53181725,12.952485,13.18456873,15.31558156,15.88588403
LBR,16.86332389,15.94349426,16.20149112,16.60539216,19.68198136
LBY,,,,,
LCA,,,,,
LCN,16.60855957,16.76623691,16.61895834,16.47529279,16.29268147
LDC,11.64163596,11.45069366,11.12617037,10.715569,9.759831923
LIC,,,,,
LIE,,,,,
LKA,8.992685055,8.458973736,8.533891971,9.12324565,9.436436742
