Country Code,2014,2015,2016,2017,2018
ABW,75.583,75.725,75.868,76.01,76.152
AFG,62.966,63.377,63.763,64.13,64.486
AGO,58.776,59.398,59.925,60.379,60.782
ALB,77.813,78.025,78.194,78.333,78.458
AND,,,,,
ARB,71.06429242,71.24957141,71.43649685,71.62252635,71.80682516
ARE,77.095,77.285,77.47,77.647,77.814
ARG,75.913,76.068,76.221,76.372,76.52
ARM,74.273,74.467,74.64,74.797,74.945
ASM,,,,,
ATG,76.349,76.483,76.617,76.752,76.885
AUS,82.3,82.4,82.44878049,82.5,82.74878049
AUT,81.4902439,81.1902439,81.64146341,81.64390244,81.69268293
AZE,72.022,72.266,72.493,72.693,72.864
BDI,59.665,60.123,60.528,60.898,61.247
BEL,81.28780488,80.99268293,81.43902439,81.49268293,81.59512195
BEN,60.345,60.608,60.885,61.174,61.47
BFA,59.45,59.919,60.354,60.768,61.174
BGD,71.231,71.514,71.785,72.052,72.32
BGR,74.46585366,74.61463415,74.81219512,74.81463415,74.96341463
BHR,76.624,76.762,76.899,77.032,77.163
BHS,72.847,73.088,73.329,73.554,73.752
BIH,76.723,76.865,76.998,77.128,77.262
BLR,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976
BLZ,73.782,74.034,74.219,74.365,74.496
BMU,80.79731707,81.01219512,81.22707317,81.44195122,81.65170732
BOL,69.891,70.277,70.626,70.945,71.239
BRA,74.745,74.994,75.23,75.456,75.672
BRB,78.717,78.801,78.888,78.981,79.081
BRN,75.193,75.318,75.45,75.585,75.722
BTN,70.046,70.419,70.781,71.129,71.46
BWA,66.265,67.338,68.178,68.812,69.275
CAF,50.129,50.881,51.593,52.24,52.805
CAN,81.8,81.9,81.9,81.94878049,81.94878049
CEB,76.67562361,76.57187776,76.96981142,76.94746535,76.97684517
CHE,83.19756098,82.89756098,83.60243902,83.55121951,83.75365854
CHI,82.252,82.429,82.6,82.766,82.928
CHL,79.504,79.646,79.779,79.909,80.042
CHN,75.629,75.928,76.21,76.47,76.704
CIV,55.508,56.065,56.567,57.017,57.422
CMR,57.083,57.583,58.063,58.511,58.921
COD,58.828,59.254,59.655,60.026,60.368
COG,62.582,63.097,63.556,63.954,64.29
COL,76.322,76.531,76.732,76.925,77.109
COM,63.214,63.471,63.7,63.912,64.118
CPV,71.886,72.117,72.347,72.57,72.782
CRI,79.398,79.565,79.738,79.914,80.095
CSS,73.15058319,73.27301798,73.39595782,73.51749107,73.63710891
CUB,78.521,78.561,78.607,78.662,78.726
CUW,77.97560976,78.07560976,77.7195122,78.01707317,
CYM,,,,,
CYP,80.178,80.35,80.513,80.672,80.828
CZE,78.82439024,78.57804878,79.02682927,78.97804878,79.02926829
DEU,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293
DJI,63.171,64.136,65.064,65.893,66.582
DMA,,,,,
DNK,80.7,80.70243902,80.85365854,81.10243902,80.95365854
DOM,73.003,73.241,73.471,73.689,73.892
DZA,75.878,76.09,76.298,76.499,76.693
EAP,74.22047205,74.49622762,74.75561418,74.9949516,75.21051211
EAR,69.46092456,69.74850615,70.01122339,70.25420448,70.48319068
EAS,75.12517029,75.39255688,75.63554087,75.86595391,76.06833643
ECA,72.27180784,72.59582795,72.94881946,73.41270948,73.59078153
ECS,77.28593768,77.24096245,77.5932005,77.7854252,77.90860669
ECU,75.923,76.143,76.365,76.584,76.8
EGY,71.117,71.302,71.482,71.656,71.825
EMU,81.94298277,81.56922911,81.95454533,81.93221523,82.05961728
ERI,64.201,64.664,65.111,65.538,65.941
ESP,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732
EST,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244
ETH,64.547,65.048,65.482,65.872,66.24
EUU,80.87044758,80.56680714,80.94986464,80.93065884,81.03440922
FCS,60.18420518,60.5480152,60.88862351,61.20474902,61.49999958
FIN,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634
FJI,67.03,67.103,67.175,67.252,67.341
FRA,82.7195122,82.32195122,82.57317073,82.57560976,82.72439024
FRO,81.59268293,81.79512195,82.04634146,82.29756098,82.54878049
FSM,67.152,67.315,67.471,67.618,67.755
GAB,64.318,64.913,65.418,65.839,66.187
GBR,81.30487805,80.95609756,81.15609756,81.25609756,81.25609756
GEO,72.707,72.973,73.207,73.414,73.6
GHA,62.416,62.772,63.124,63.463,63.78
GIB,,,,,
GIN,59.016,59.598,60.17,60.706,61.185
GMB,60.667,60.91,61.166,61.44,61.735
GNB,56.556,56.959,57.328,57.673,58.003
GNQ,57.001,57.359,57.713,58.061,58.402
GRC,81.38536585,81.03658537,81.38780488,81.28780488,81.78780488
GRD,72.503,72.445,72.408,72.388,72.384
GRL,71.53841463,71.24634146,70.84878049,,
GTM,72.935,73.25,73.541,73.81,74.063
GUM,78.895,79.144,79.391,79.631,79.859
GUY,69.049,69.262,69.454,69.624,69.774
HIC,80.51254524,80.39198686,80.5408514,80.58546545,80.65610468
HKG,83.9804878,84.27804878,84.22682927,84.6804878,84.93414634
HND,74.278,74.495,74.701,74.898,75.088
HPC,61.33431282,61.85295324,62.3232893,62.7486826,63.1350064
HRV,77.47804878,77.27560976,78.02195122,77.82682927,78.07073171
HTI,62.069,62.485,62.896,63.29,63.66
