Country Code,WJP Rule of Law Index: Overall Score
AFG,0.35
ALB,0.51
DZA,0.51
AGO,0.41
ATG,0.63
ARG,0.58
AUS,0.80
AUT,0.82
BHS,0.61
BGD,0.41
BRB,0.65
BLR,0.52
BEL,0.79
BLZ,0.48
BEN,0.50
BOL,0.38
BIH,0.53
BWA,0.59
BRA,0.53
BGR,0.54
BFA,0.51
KHM,0.32
CMR,0.38
CAN,0.81
CHL,0.68
CHN,0.49
COL,0.50
COD,0.33
CRI,0.69
CIV,0.46
HRV,0.61
CZE,0.73
DNK,0.90
DMA,0.59
DOM,0.46
ECU,0.48
EGY,0.36
SLV,0.48
EST,0.81
ETH,0.39
FIN,0.87
FRA,0.74
GEO,0.61
DEU,0.84
GHA,0.58
GRC,0.62
GRD,0.60
GTM,0.46
GIN,0.44
GUY,0.50
HND,0.40
HKG,0.77
HUN,0.53
IND,0.51
IDN,0.52
IRN,0.45
ITA,0.65
JAM,0.56
JPN,0.78
JOR,0.57
KAZ,0.52
KEN,0.45
KGZ,0.48
LBN,0.47
LBR,0.46
MDG,0.43
MWI,0.51
MYS,0.55
MLI,0.45
MRT,0.35
MUS,0.61
MEX,0.45
MDA,0.49
MNG,0.55
MAR,0.50
MOZ,0.43
MMR,0.42
NAM,0.62
NPL,0.53
NLD,0.84
NZL,0.82
NIC,0.40
NER,0.45
NGA,0.43
MKD,0.54
NOR,0.89
PAK,0.39
PAN,0.52
PER,0.51
PHL,0.47
POL,0.66
PRT,0.71
KOR,0.73
ROU,0.64
RUS,0.47
RWA,0.61
SEN,0.55
SRB,0.50
SLE,0.45
SGP,0.80
SVN,0.67
ZAF,0.58
ESP,0.72
LKA,0.52
KNA,0.65
LCA,0.61
VCT,0.62
SUR,0.51
SWE,0.86
TZA,0.47
THA,0.50
TGO,0.45
TTO,0.54
TUN,0.53
TUR,0.43
UGA,0.40
UKR,0.50
ARE,0.64
GBR,0.80
USA,0.72
URY,0.71
UZB,0.46
VEN,0.28
VNM,0.49
ZMB,0.47
ZWE,0.40
